SNO,Input Data,Target Data,Predicted Data
2016,qennel,கேனல்,கேனல்
2017,jen,ஜேன்,ஜேன்
2018,kambankal,கம்பங்கள்,கம்பங்கள்
2019,pandangalin,படங்களின்,படங்களின்
2020,neettippu,நீட்டிப்பு,நீட்டிப்பு
2021,thaniththaniyaaga,தனித்தனியாக,தனித்தனியாக
2022,raentam,ரேண்டம்,ரேண்டம்
2023,amachankalil,அம்சங்களில்,அஅம்சங்களில்
2024,purindhum,புரிந்தும்,பரிந்தும்
2025,wedik,வேதக்,வேதக்
2026,kameeo,கேமியோ,கேமியோ
2027,moraakkoa,மொராக்கோ,மொராாக்கோ
2028,eriya,ஏறிய,ஏறிய
2029,zayn,ஜென்,ஜெென்
2030,pagadai,பகடை,பகடை
2031,vaakanangkalukku,வாகனங்களுக்கு,வாகனங்களுக்கு
2032,anuraathapuraththil,அனுராதபுரத்தில்,அனுராதபுரத்தில்
2033,anupamaa,அனுபமா,அனுபமாா
2034,laesaana,லேசான,லேசான
2035,koatpaatukalum,கோட்பாடுகளும்,கோட்பாடுகளும்
2036,aaloasanaikal,ஆலோசனைகள்,ஆலோசனைகள்
2037,thamilakap,தமிழகப்,தமிழகப்
2038,riisi,ரிஷி,ரிஷஷி
2039,thoarruviththaar,தோற்றுவித்தார்,தோற்றுவித்தார்
2040,cheythavarukku,செய்தவருக்கு,செய்தவருக்கு
2041,poonaiyin,பூனையின்,பூனையனி்
2042,thevaalaya,தேவாலய,தோவலய
2043,serththuch,சேர்த்துச்,சேரத்்துச்
2044,thanithuvamana,தனித்துவமான,தனித்துமான
2045,raendam,ரேண்டம்,ரேண்டம்
2046,vazhakkurai,வழக்குரை,வழக்குை
2047,padaippaakka,படைப்பாக்க,படைப்பாக்க
2048,thanithani,தனித்தனி,தனித்தனி
2049,cholarkalin,சோழர்களின்,சோழர்களின்
2050,idaiyooraaka,இடையூறாக,இடையூறாக
2051,koolly,கோலி,கோில
2052,padaithu,படைத்து,படைைத்து
2053,antri,அன்றி,அன்றி
2054,puthuchchaeriyil,புதுச்சேரியில்,பபுதுச்சேரியில்
2055,naanaa,நானா,நானா
2056,raajaraajan,ராஜராஜன்,ராஜராஜன்
2057,alavukalai,அளவுகளை,அளவுகளை
2058,nigalththa,நிகழ்த்த,நிகழ்த்த
2059,gopee,கோபி,கோபி
2060,nanmaigazhaip,நன்மைகளைப்,நன்மைகளளைப்
2061,thadaigalai,தடைகளை,தடைகளை
2062,adakkik,அடக்கிக்,அடக்கிக
2063,kathil,காதில்,காதில்
2064,keet,கீட்ஸ்,கீட்ஸ்
2065,paththaandu,பத்தாண்டு,பத்தாண்டுு
2066,centi,சென்டி,சென்டி
2067,uooraga,ஊரக,ஊர
2068,samarppiththaar,சமர்ப்பித்தார்,சமர்ப்பித்தார்
2069,koagilaa,கோகிலா,ககோிலா
2070,yuneskoavin,யுனெஸ்கோவின்,யுனெஸ்கோவின்
2071,kamparin,கம்பரின்,கம்பரின்
2072,zapan,ஜப்பான்,ஜப்்பான்
2073,deepankal,தீபங்கள்,தீபங்கள்
2074,letshumi,லெட்சுமி,லெட்்சுமி
2075,sathyavin,சத்யாவின்,சத்யாவின்
2076,aaivuk,ஆய்வுக்,ஆய்வுகக்
2077,appakuthiin,அப்பகுதியின்,அப்பகுதியின்
2078,nadaiperaadha,நடைபெறாத,டைபெறாத
2079,aayirakkanakkil,ஆயிரக்கணக்கில்,ஆயிரக்ணகக்கில்
2080,veezhchchiyilirunththu,வீழ்ச்சியிலிருந்து,வீழ்ச்சியிலிருந்து
2081,narachimman,நரசிம்மன்,நரசிம்மன்
2082,qeat,கீட்ஸ்,கீ்டஸ்
2083,microsophtt,மைக்ரோசாப்ட்,மைக்ரோாப்ட்
2084,yel,எள்,எ்
2085,koovaiyin,கோவையின்,கோவையின்்
2086,baathaikalin,பாதைகளின்,பாதைகளி்ன
2087,poadhum,வாங்கும்,வாங்ும்
2088,kaaththiruntha,காத்திருந்த,கதா்திருந்த
2089,ainaa,ஐநா,ஐநநா
2090,vadamaerkil,வடமேற்கில்,வடமேற்கில்
2091,gowrila,கொரில்லா,கொரில்லா
2092,praem,பிரேம்,பிரேமம்
2093,pazhuvettaraiyar,பழுவேட்டரையர்,பழுவேட்டரையர்
2094,kaaranamaakattan,காரணமாகத்தான்,காரணமாகத்தான்
2095,bhaavangalukku,பாவங்களுக்கு,பாவங்களுக்கு
2096,kaalanigalai,காலணிகளை,காலணிகளை
2097,pilaiyaaka,பிழையாக,பிழையாக
2098,kidaikkaatu,கிடைக்காது,கிடைக்காது
2099,maiyamaagavum,மையமாகவும்,மையமாாகவும்
2100,koorappatta,கூறப்பட்ட,கூறப்பட்ட
2101,suurrendar,சரணடைய,சரணடைய
2102,kuurapattu,கூறப்பட்டு,கூறப்பட்டடு
2103,serbiis,செர்பியா,செர்ியா
2104,palaridam,பலரிடம்,பலரிடம்
2105,kyuubaa,கியூபா,கியபா
2106,pankuthaararkalin,பங்குதாரர்களின்,பங்குதாரர்களின்
2107,padangaludan,படங்களுடன்,படங்களுடன்
2108,engkoa,எங்கோ,ங்கோ
2109,saravanabhavan,சரவணபவன்,சரவணபவன்
2110,thamizhakam,தமிழகம்,தமிழககம்
2111,sivingki,ஒட்டகச்,ஒடட்கச்
2112,paathai,பாதை,ாதை
2113,uudaaka,ஊடக,ஊடக
2114,kuuttangalin,கூட்டங்களின்,கூட்டங்களின்
2115,vanthanar,வந்தனர்,வந்தனர்
2116,thalamaanadhu,தளமானது,தளமானதது
2117,indiana,இந்தியானா,இந்தியானா
2118,neervalam,நீர்வளம்,நீரர்வளம்
2119,amasankalil,அம்சங்களில்,அம்சங்களில்
2120,piranthavudan,பிறந்தவுடன்,பறிந்தவுடன்
2121,vaguththathu,வகுத்தது,வககுத்தது
2122,nigalvugalin,நிகழ்வுகளின்,நிகழ்வுளின்
2123,villiyam,வில்லியம்,வில்லியம்
2124,pilaant,பிளாண்ட்,பளாண்ட்
2125,parumanaal,பருமனால்,பருனால்
2126,kaaranamaagattan,காரணமாகத்தான்,காரணமாகத்தான்
2127,ethirkkavillai,எதிர்க்கவில்லை,எதிரர்க்கவில்லை
2128,thamilakatthu,தமிழகத்து,தமிழகத்து
2129,aankalae,ஆண்களே,ஆண்கேள
2130,makatha,மகத,மகதத
2131,thavikkum,தவிக்கும்,தவிக்கு்ம
2132,kaettanar,கேட்டனர்,கேட்னடர்
2133,qolly,கோலி,கோலலி
2134,innoayai,இந்நோயை,இந்நயை
2135,vaiguntarin,வைகுண்டரின்,வைகுண்டரின்
2136,aayvugal,ஆய்வுகள்,ஆய்வுகள்
2137,urangaamal,உறங்காமல்,உறங்காமல்
2138,tains,டான்ஸ்,டான்்
2139,avgast,ஆகஸ்ட்,ஆகஸஸ்ட்
2140,poochchu,பூச்சு,பூச்சு
2141,andarson,ஆண்டர்சன்,ஆண்டர்சன்
2142,araikuuval,அறைகூவல்,அைகூவல்
2143,kelwin,கெல்வின்,கெல்வின்
2144,baaru,பாரு,பரு
2145,antar,அண்டர்,அண்டர்
2146,serkkai,சேர்க்கை,சேர்க்கை
2147,oodakaththil,ஊடகத்தில்,ஊடககத்தில்
2148,seithullaargal,செய்துள்ளார்கள்,செய்துளள்ார்கள்
2149,valiththoanralkal,வழித்தோன்றல்கள்,வழித்தோன்றல்கள்
2150,nanmaiye,நன்மையே,நன்மையே
2151,kool,கூல்,ூல்
2152,vaelaik,வேலைக்,வேலைக்
2153,valakkukalukku,வழக்குகளுக்கு,வழகக்குகளுக்கு
2154,pinpuramaaka,பின்புறமாக,பின்புறமாக
2155,angel,ஏஞ்சல்,ஏஞஞ்சல்
2156,koopai,கோப்பை,கோோப்பை
2157,thiyaakaraajar,தியாகராஜர்,தியாகராஜர்
2158,expo,எக்ஸ்போ,எக்ஸ்போ
2159,panththiyil,பந்தியில்,பந்தியி்ல
2160,roopavahini,ரூபவாஹினி,ரூபவாஹினி
2161,paguthiyaith,பகுதியைத்,பகுதியைத்
2162,farm,ஃபார்ம்,ஃபார்மம்
2163,sattre,சற்றே,சறற்றே
2164,yesuppaaniya,எசுப்பானிய,எசுப்பானிய
2165,mahaaiana,மகாயான,மகாயான
2166,padaippakka,படைப்பாக்க,படைப்பாக்
2167,koly,கோலி,கோலி
2168,covaiyin,கோவையின்,கோவையின்
2169,oppandhaththirku,ஒப்பந்தத்திற்கு,ஒப்பந்தத்திற்கு
2170,privinarae,பிரிவினரே,பிரிவினரேே
2171,aayerakkanakkil,ஆயிரக்கணக்கில்,ஆயிரக்கணக்கில்
2172,pirabhukkal,பிரபுக்கள்,பிரபுக்கள்்
2173,thalavaada,தளவாட,தளவாடட
2174,veetirkuch,வீட்டிற்குச்,வீட்டிற்குச்
2175,latchanam,லட்சணம்,லலட்சணம்
2176,betless,பீட்டில்ஸ்,பீட்டில்ஸ்
2177,panigazh,பணிகள்,பணிகளள்
2178,varappoakum,வரப்போகும்,வரப்போகும்
2179,azhakinai,அழகினை,அழகினை
2180,kuuttangal,கூட்டங்கள்,கூட்ட்ஙகள்
2181,raeklaa,ரேக்ளா,ரேக்்ளா
2182,eattrukkondanar,ஏற்றுக்கொண்டனர்,ஏற்றுக்கொண்டனர்
2183,peaththi,பேத்தி,ேபத்தி
2184,maheshh,மகேஷ்,மகேஷ்்
2185,reshii,ரிஷி,ரிஷி
2186,nirvaagaththirkum,நிர்வாகத்திற்கும்,நிர்வாகத்திற்கும்
2187,nilainiruththik,நிலைநிறுத்திக்,நிலைநிறுத்திக்
2188,yerinththu,எறிந்து,எறிந்து
2189,sangavi,சங்கவை,சங்கவை
2190,planet,பிளாண்ட்,பிளாண்ட்
2191,koophee,கோபி,கோோபி
2192,marine,மரைன்,மரைன்
2193,couult,கோல்ட்,ககோல்ட்
2194,kiiran,கிரண்,கிரண்
2195,oppandha,ஒப்பந்த,ஒப்பந்த
2196,odissei,ஒடிசி,ஒடிிசி
2197,palakaiyil,பலகையில்,பலகையில்
2198,ein,ஆன்,ஆஆன்
2199,lakshumiyin,லட்சுமியின்,லட்சுமியி்
2200,mickiy,மிக்கி,மிக்கி
2201,agamadhabaath,அகமதாபாத்,அகமதாபாத்
2202,nirvaaga,நிர்வாக,நிர்வாக
2203,santharppangkalil,சந்தர்ப்பங்களில்,சந்ர்ப்பங்களில்
2204,maalaiyai,மாலையை,மாலையை
2205,gaurava,கௌரவ,கரவ
2206,periyavaraaka,பெரியவராக,பெரியவராக
2207,koolt,கோல்ட்,கோல்்ட்
2208,inthnikalvukku,இந்நிகழ்வுக்கு,நஇ்நிகழ்வுக்கு
2209,vazhanggappaduvathu,வழங்கப்படுவது,வழங்கப்படுவது
2210,thudaippam,துடைப்பம்,துடைப்பம்
2211,panigazhaip,பணிகளைப்,பணகிளைப்
2212,paniyilum,பணியிலும்,பணியிலும்
2213,cholapuram,சோழபுரம்,சோழபுரம்
2214,devid,டேவிட்,டேவிட்
2215,ashokaa,அசோகா,அசோகா
2216,adankiyathu,அடங்கியது,அடங்ிகயது
2217,padala,படல,பல
2218,kulandhaai,குழந்தாய்,குழந்தாய்
2219,cargazhin,கார்களின்,காரகளின்
2220,thozhilin,தொழிலின்,தொழிலின்
2221,mamon,மேமன்,மேமன்
2222,aayvukkatturaikal,ஆய்வுக்கட்டுரைகள்,ஆய்வுக்கட்்டுரைகள்
2223,kalyanap,கல்யாணப்,கல்யாணப்
2224,vittradhu,விற்றது,விற்றது
2225,chalukyargal,சாளுக்கியர்கள்,சாளுககியர்கள்
2226,ina,ஐநா,ஐாந
2227,kolgiraargal,கொள்கிறார்கள்,கொள்கிறார்கள்
2228,thulaikalai,துளைகளை,துளைகைள
2229,nedunjeralaathan,நெடுஞ்சேரலாதன்,நெடுஞ்சேரலாதன்
2230,inaviruththi,இனவிருத்தி,இனவிருத்தி
2231,latiin,லத்தீன்,லத்தீன்
2232,thamizhakaththilirunthu,தமிழகத்திலிருந்து,தமமிழகத்திலிருந்து
2233,aburvamaana,அபூர்வமான,அபூர்மவான
2234,brammam,பிரம்மம்,பிரம்மம்
2235,aasiramaththirku,ஆசிரமத்திற்கு,ஆசிரமத்திற்கு
2236,poakkuvaraththai,போக்குவரத்தை,போக்குரத்தை
2237,siiv,சிவ,சவி
2238,unnda,உண்ட,உண்ட
2239,paathiyil,பாதியில்,பாதியி்
2240,nanmaikalai,நன்மைகளை,நன்மைகளை
2241,paguppaayvu,பகுப்பாய்வு,பகுப்பாய்வு
2242,kampatthin,கம்பத்தின்,கம்பத்தின்
2243,thotumpothu,தொடும்போது,ததொடும்போது
2244,vedic,வேதக்,வேதக்
2245,malaiyadivaaraththil,மலையடிவாரத்தில்,மலையடிவாரத்தில்
2246,serndhu,சேர்ந்து,சேர்ந்ு
2247,raamayanam,ராமாயணம்,ராமாயணம்
2248,agazhaayvil,அகழாய்வில்,அகழயா்வில்
2249,ethirkkaamal,எதிர்க்காமல்,எதிர்க்காமல்
2250,veesappatta,வீசப்பட்ட,வீசப்படட்ட
2251,panigazhum,பணிகளும்,பணிகளும்
2252,kiran,கிரண்,கிரண்
2253,pirandhadhaaga,பிறந்ததாக,பிறந்ததாக
2254,vilaiyaada,விளையாட,விளையாட
2255,chivingi,ஒட்டகச்,ஒட்டகச்
2256,kaatrin,காற்றின்,காற்றின
2257,karumpalagaiyil,கரும்பலகையில்,கரும்பலகையில்
2258,adikalaiyum,அடிகளையும்,அடிகளைுயம்
2259,adiiti,அதிதி,அதிதி
2260,adangiya,அடங்கிய,அடங்ிய
2261,athilaeyae,அதிலேயே,அதிலேயே
2262,choazhar,சோழர்,சோழர்
2263,cankath,சங்கத்,சங்கத்
2264,kameoo,கேமியோ,ேமியோ
2265,parimaatraththil,பரிமாற்றத்தில்,பரிமாற்றத்தில்
2266,thoontriyullathu,தோன்றியுள்ளது,தோோன்றியுள்ளது
2267,pataitthu,படைத்து,பைத்து
2268,satis,சதீஷ்,சதீ்ஷ
2269,samayath,சமயத்,சமய்த
2270,vediq,வேதக்,வேகத்
2271,chalukkiyar,சாளுக்கியர்,சாளுக்்கியர்
2272,colie,கோலி,கோி
2273,mudinthaal,முடிந்தால்,முடிந்தால்
2274,iththiraippadaththin,இத்திரைப்படத்தின்,இத்திரைப்படத்தின்
2275,eynid,எனிட்,எனிட்
2276,bhaava,பாவ,பவா
2277,haaris,ஹாரிஸ்,ஹாரிஸ்
2278,muyantrapoathu,முயன்றபோது,முய்னறபோது
2279,luudheeana,லூதியானா,லூூதியானா
2280,sukku,சுக்கு,சுகக்ு
2281,maaskoavin,மாஸ்கோவின்,மாஸகோவின்
2282,raanuvath,ராணுவத்,ராணுவத்
2283,valangal,வழங்கள்,வழங்கள்
2284,veeraraaga,வீரராக,வீரராக
2285,vavuniyaa,வவுனியா,வுவனியா
2286,kovaiyil,கோவையில்,கோவையில்
2287,nadhiyaiyum,நதியையும்,நதயிையும்
2288,vichaikalai,விசைகளை,விசைகளை
2289,udalai,உடலை,உடைல
2290,azhakin,அழகின்,அழகின்
2291,deepanggal,தீபங்கள்,தீபங்களள்
2292,quuantam,குவாண்டம்,குவாண்டம்
2293,poga,போக,போக
2294,adiittii,அதிதி,அதிதி
2295,noolae,நூலே,நூலேே
2296,aaduvar,ஆடுவர்,ஆடுவ்
2297,tiruchchirappalli,திருச்சிராப்பள்ளி,திருச்சசிராப்பள்ளி
2298,maahes,மகேஷ்,மகேஷ்
2299,kaangiraar,காண்கிறார்,காண்கிறார்
2300,kadarkaik,கடற்கரைக்,கடற்கரைக்
2301,kaanpiththathu,காண்பித்தது,காண்பித்ததது
2302,seiyappattapoothu,செய்யப்பட்டபோது,செய்ப்பட்டபோது
2303,sanggaththil,சங்கத்தில்,சங்கத்தில்
2304,seyarpaadugalum,செயற்பாடுகளும்,செயற்பாடுகளும்
2305,qutch,கட்ச்,கட்்
2306,arrakka,அரக்க,அரக்க
2307,kaettaa,கேட்டா,கே்டா
2308,thambathi,தம்பதி,தம்பததி
2309,moolaam,நதி,நித
2310,sikanamaka,சிக்கனமாக,சிக்கனமாக
2311,karson,கார்சன்,கார்சன்
2312,tholvikkup,தோல்விக்குப்,தோல்விக்குப்
2313,santharppangal,சந்தர்ப்பங்கள்,சந்தர்ப்பங்கள்
2314,adanggiyathu,அடங்கியது,அடங்கிது
2315,odeessei,ஒடிசி,டிசி
2316,setee,சதி,சதிி
2317,kaardu,சிம்,சிம்
2318,panbaadugalin,பண்பாடுகளின்,பண்ாபடுகளின்
2319,thanithanmaiyana,தனித்தன்மையான,தனித்தன்ைமயான
2320,poruppettru,பொறுப்பேற்று,பொறுப்பேற்று
2321,praemaa,பிரேமா,பிேமா
2322,aetrtru,ஏற்று,றஏ்று
2323,thaniththamaiyaana,தனித்தன்மையான,தனித்தன்மையான
2324,vaaganagkalaik,வாகனங்களைக்,வாகனங்களைக்
2325,kitaikkinra,கிடைக்கின்ற,கிடகை்கின்ற
2326,mupparimaana,முப்பரிமாண,முப்பபரிமாண
2327,nikoatin,நிகோடின்,நிோடின்
2328,kulaththi,குளத்தை,குளத்தை
2329,suvargal,சுவர்கள்,சுவர்ளக்
2330,thalamum,தளமும்,தளமும்
2331,darvyn,டார்வின்,டார்வின்
2332,tholuthaar,தொழுதார்,தொழதார்
2333,shaavai,ஷாவை,ஷஷாவை
2334,adihalum,அடிகளும்,அடிகளும்
2335,kavali,கவலை,கவலை
2336,leakin,லீக்கின்,லீ்கின்
2337,vetrtridam,வெற்றிடம்,வற்றிடம்
2338,ulvaankiya,உள்வாங்கிய,உள்வாங்கிய
2339,seyarpadugalilum,செயற்பாடுகளிலும்,செற்பாடுகளிலும்
2340,aththiyaayam,அத்தியாயம்,அத்தியாயம்
2341,panigalaip,பணிகளைப்,பணிகைளப்
2342,seiyappattalum,செய்யப்பட்டாலும்,செய்யப்பட்டாலும்
2343,kaendhiriya,கேந்திரிய,கேந்திரிய
2344,pankuthararkalin,பங்குதாரர்களின்,பங்குதாரர்களின்
2345,pettruththanththathu,பெற்றுத்தந்தது,பெற்றுத்தந்ததது
2346,marukkavae,மறுக்கவே,மறுக்கேவ
2347,muhammat,முஹம்மத்,முஹம்மத்
2348,periyadhaagavum,பெரியதாகவும்,பெரியதாகவும்
2349,aththiyaayangkalai,அத்தியாயங்களை,அத்தயிாயங்களை
2350,kuraindhaal,குறைந்தால்,குறைந்தால்
2351,shaam,ஷாம்,ஷாம
2352,sooravazhigal,சூறாவளிகள்,சூறாளவிகள்
2353,idaththilum,இடத்திலும்,இடத்திலும்
2354,pathinoaraavathu,பதினோராவது,பதினோராவது
2355,avathaaraththil,அவதாரத்தில்,அவதாரத்திில்
2356,santharppankalil,சந்தர்ப்பங்களில்,சந்தர்ப்பங்களில்
2357,piiddi,பீட்டி,பீட்டி
2358,thadayangal,தடயங்கள்,தடயங்க்
2359,kaithigal,கைதிகள்,கதைிகள்
2360,chittu,சிட்டு,சிடட்டு
2361,peruvatharkaaga,பெறுவதற்காக,பெறுவதற்காக
2362,vitum,கலந்து,கந்து
2363,aanjaneayar,ஆஞ்சநேயர்,ஆஞ்நசேயர்
2364,appaadal,அப்பாடல்,அப்பாடல்
2365,aerpaduvathudan,ஏற்படுவதுடன்,ஏற்படுவதுுடன்
2366,nuzhinththapoathu,நுழைந்தபோது,நுழைந்தபோது
2367,kootudhal,கூட்டுதல்,கூட்டுதல்்
2368,uoodagam,ஊடகம்,டஊகம்
2369,thiraiku,திரைக்கு,திரைக்கு
2370,zoorddan,ஜோர்டான்,ஜோர்டான்
2371,solapuram,சோழபுரம்,சோபழுரம்
2372,marukka,மறுக்க,மறுக்க
2373,serkkaiin,சேர்க்கையின்,சேரக்கையின்
2374,inriyum,இன்றியும்,இன்றியும்
2375,tabagoo,டொபாகோ,டொாகோ
2376,die,டை,டை
2377,kuzhanthaai,குழந்தாய்,ுழந்தாய்
2378,ezhuthiyullathu,எழுதியுள்ளது,எழுதியுள்ளது
2379,sikkanamaaka,சிக்கனமாக,சி்கனமாக
2380,goldan,கோல்டன்,கல்டன்
2381,varuvaaith,வருவாய்த்,வருவாய்த்
2382,thoguppaiyum,தொகுப்பையும்,தொகுப்பையும்
2383,oorvalamaaka,ஊர்வலமாக,ஊர்லமாக
2384,samayththaal,சமைத்தால்,சமைத்தாால்
2385,padaiththu,படைத்து,படைத்து
2386,konarum,கொணரும்,கொணரும
2387,velippuram,வெளிப்புறம்,வெிளப்புறம்
2388,vaethipporutkal,வேதிப்பொருட்கள்,வேதிப்பொருட்கள
2389,sattaiyil,சட்டையில்,சடடையில்
2390,uyirvaalum,உயிர்வாழும்,உயிரவ்ாழும்
2391,makammathu,முகம்மது,முகம்மு
2392,caardu,சிம்,சிம்
2393,suvasikkkum,சுவாசிக்கும்,சுவாசிக்ுகம்
2394,saallukiyar,சாளுக்கியர்,சளுக்கியர்
2395,kulaththukku,குளத்துக்கு,குதள்துக்கு
2396,padaitthaan,படைத்தான்,படைத்தான்
2397,veelchchikkum,வீழ்ச்சிக்கும்,வீழ்ச்சிக்்கும்
2398,japanai,ஜப்பானை,ஜப்பானை
2399,mulam,நதி,தநி
2400,dhadchanaamoorthi,தட்சிணாமூர்த்தி,தட்சிணாமூர்த்தி
2401,seiyul,செய்யுள்,செய்யுள்
2402,vaelaikkup,வேலைக்குப்,வேலைக்கு்ப
2403,kollaadhavar,கொள்ளாதவர்,கொள்ளாதவர்
2404,evaikalai,இவைகளை,இவைகளை
2405,aalayangkalai,ஆலயங்களை,ஆலய்ஙகளை
2406,aan,ஆன்,ஆ்ன
2407,aditi,அதிதி,அிதி
2408,koodaadhu,கூடாது,கூடாது
2409,aankalum,ஆண்களும்,ஆண்ககளும்
2410,railhal,ரயில்கள்,ரயில்கள்
2411,keattapoothu,கேட்டபோது,கேட்டபோது
2412,kalviyilum,கல்வியிலும்,கல்விியிலும்
2413,risii,ரிஷி,ரஷிி
2414,gobi,கோபி,கோபி
2415,en,ஆன்,ஆன்
2416,thandhirangalil,தந்திரங்களில்,தந்திரங்களில்
2417,dhayalan,தயாளன்,தயானள்
2418,vairamuththu,கபிலன்,கிபலன்
2419,aagast,ஆகஸ்ட்,ஆகஸ்ட்
2420,paththaandugalil,பத்தாண்டுகளில்,பத்தாண்டுகளில்
2421,solvathu,சொல்வது,சொல்வது
2422,tamilagatthu,தமிழகத்து,தமிழகத்து
2423,payanpatuththuvathai,பயன்படுத்துவதை,பயன்படுத்துவதை
2424,adikkadik,அடிக்கடிக்,அடிக்கடி்க
2425,kulanggal,குளங்கள்,குஙள்கள்
2426,baebal,பாபேல்,பபேல்
2427,padigal,படிகள்,படகிள்
2428,vaedhi,வேதி,வேதி
2429,pattar,ஹாரி,ஹாி
2430,sentt,செயிண்ட்,செயிண்ட்
2431,committiyil,கமிட்டியில்,கமிட்டியில்
2432,vasiththanar,வசித்தனர்,வசிித்தனர்
2433,therigirathu,தெரிகிறது,தெரிகிறது
2434,kozhumbil,கொழும்பில்,கொழும்ிபல்
2435,pirathyeagaamana,பிரத்யேகமான,பிரத்யேகமான
2436,loodhana,லூதியானா,லதூியானா
2437,seyalpatuvathu,செயல்படுவது,செயல்படுவது
2438,colii,கோலி,கோலலி
2439,narpanpukal,நற்பண்புகள்,நற்பண்புகள்
2440,yavvithamaana,எவ்விதமான,எவ்வதிமான
2441,munnanikku,முன்னணிக்கு,முன்னணிக்்கு
2442,sreerankaththil,ஸ்ரீரங்கத்தில்,ஸ்ரீரங்கத்ததில்
2443,thanithanmaiyudan,தனித்தன்மையுடன்,தனித்தனன்மையுடன்
2444,gorilla,கொரில்லா,ககொரில்லா
2445,devaalayam,தேவாலயம்,தேவாலயம்
2446,kumari,சாந்த,சநா்த
2447,piranthana,பிறந்தன,பிறந்தன
2448,arcod,ஆற்காடு,ஆற்்காடு
2449,viththiyaaamaaga,வித்தியாசமாக,வித்ததியாசமாக
2450,chukku,சுக்கு,சசுக்கு
2451,guru,குறு,குறு
2452,colonygalai,காலணிகளை,காலலணிகளை
2453,pirakaasa,சைவப்,சைவப்
2454,munmaathiri,முன்மாதிரி,முன்மாதிரி
2455,umathu,உமது,உஉமது
2456,koakila,கோகிலா,கோகில
2457,thoalvikku,தோல்விக்கு,தோல்விக்கு
2458,marain,மரைன்,மரைன்
2459,vaipavam,வைபவம்,வைபவமம்
2460,porimurai,பொறிமுறை,பொறிமுறை
2461,pottu,பொட்டு,பொட்ு
2462,sooraavaliyil,சூறாவளியில்,சூறாவளியில்
2463,letin,லத்தீன்,லத்தீனன்
2464,vaazhvilirunththu,வாழ்விலிருந்து,வாழ்விலிருந்து
2465,lalithaa,லலிதா,லலதா
2466,muththaiyaa,முத்தையா,முத்தையா
2467,seyyappattullar,செய்யப்பட்டுள்ளார்,செய்யப்பட்டுள்ளார்
2468,yelimaiyaaka,எளிமையாக,எளிமையாாக
2469,gooldan,கோல்டன்,கோல்டன்
2470,mikkavaraaka,மிக்கவராக,மிக்கவராக
2471,padaiththathu,படைத்தது,படைத்தது
2472,aandarsan,ஆண்டர்சன்,ஆண்ட்ரசன்
2473,koottangalin,கூட்டங்களின்,கூட்டங்களி்ன
2474,meampaalap,மேம்பாலப்,மேம்பாலப்
2475,moorththikal,மூர்த்திகள்,மூர்த்திகள்
2476,matravargalaiyum,மற்றவர்களையும்,மற்றவர்களையும்
2477,tokaiyaik,தொகையைக்,ததொகையைக்
2478,othar,இதர,இரத
2479,uyirmai,உயிர்மை,உயிர்மை
2480,kaidhigalin,கைதிகளின்,கைிகளின்
2481,darpoo,டர்போ,டர்போ
2482,sutrullaap,சுற்றுலாப்,சுற்றுலாப்
2483,sangkak,சங்கக்,சங்க்
2484,seithathin,செய்ததின்,செய்ததி்ன
2485,aaloasanaigal,ஆலோசனைகள்,ஆலோசனைகள்
2486,uruppum,உறுப்பும்,உறுப்பும்
2487,piraveen,பிரவீன்,பிரவீன்்
2488,kalvippani,கல்விப்பணி,கலவ்ிப்பணி
2489,kaanbiththathu,காண்பித்தது,காண்பபித்தது
2490,kallala,கல்லால,கல்லாலல
2491,uppsalaa,உப்சாலா,உஉப்சாலா
2492,kadidhangalai,கடிதங்களை,கடிதங்களை
2493,kadarkaraik,கடற்கரைக்,கடற்கரைக்
2494,seiyappattaalum,செய்யப்பட்டாலும்,செய்யப்படட்ாலும்
2495,rover,ரோவர்,ோரவர்
2496,amerika,அமெரிக்கா,அமெரிக்கா
2497,eavvitham,எவ்விதம்,எவ்விதம்
2498,serwar,சர்வர்,சர்வர்
2499,nerippaduththum,நெறிப்படுத்தும்,நெறிப்படுத்தும்
2500,mauhamad,முஹம்மத்,முஹம்மத்
2501,periyathu,பெரியது,பெரியது
2502,veedeec,வேதக்,வேதக்
2503,kamio,கேமியோ,ககேமியோ
2504,pandriyin,பன்றியின்,பன்றியினன்
2505,pukazhpettraar,புகழ்பெற்றார்,புழ்பெற்றார்
2506,pozhuthil,மாலைப்,மமாலைப்
2507,koovalan,கோவலன்,கோவலன்
2508,kadithangkalum,கடிதங்களும்,டிதங்களும்
2509,eythum,எய்தும்,எய்தம்
2510,maali,மாலி,மாலிி
2511,serverkal,சர்வர்கள்,ச்ரவர்கள்
2512,ithazhaaka,இதழாக,இதழாக
2513,chenchi,செஞ்சி,செஞ்சி
2514,kandarindhdhanar,கண்டறிந்தனர்,கண்டறிந்தனர்
2515,mahalatchumi,மகாலட்சுமி,மககாலட்சுமி
2516,naween,நவீன்,நநவீன்
2517,serththum,சேர்த்தும்,சேர்த்தும்
2518,kuuthu,கூத்து,கூதது
2519,kandarinthanar,கண்டறிந்தனர்,கண்டறிந்தனர்
2520,anthoni,அந்தோனி,அநதோனி
2521,kuudumaana,கூடுமான,கூடுமான
2522,yaaritam,யாரிடம்,யாரிடம
2523,kudayndhu,குடைந்து,குடைந்தது
2524,athanathan,அதனதன்,அதனத்ன
